Domain,Area,Element,Item,Year,Unit,Value
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1984","kg/ha","56.18"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1985","t","90496"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1985","kg/ha","53.41"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1986","t","72200"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1986","kg/ha","42.95"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1987","t","69400"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1987","kg/ha","41.28"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1988","t","73200"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1988","kg/ha","43"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1989","t","64100"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1989","kg/ha","37.63"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1990","t","73600"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1990","kg/ha","44.01"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1991","t","70400"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1991","kg/ha","41.57"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1992","t","65000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1992","kg/ha","38.84"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1993","t","64000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1993","kg/ha","38.45"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1994","t","56000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1994","kg/ha","33.62"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1995","t","52000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1995","kg/ha","31.37"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1996","t","52272"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1996","kg/ha","31.66"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1997","t","59969"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1997","kg/ha","36.49"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1998","t","57264"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1998","kg/ha","34.92"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1999","t","53503"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1999","kg/ha","32.69"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2000","t","48548"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2000","kg/ha","29.72"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2001","t","47192"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2001","kg/ha","29.13"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2002","t","47138"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2002","kg/ha","29.14"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2003","t","45193"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2003","kg/ha","28.03"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2004","t","39357"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2004","kg/ha","24.51"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2005","t","36320"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2005","kg/ha","22.59"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2006","t","34979"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2006","kg/ha","21.78"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2007","t","37925"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2007","kg/ha","23.64"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2008","t","44704"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2008","kg/ha","28.03"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2009","t","17531"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2009","kg/ha","11.01"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2010","t","22121"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2010","kg/ha","13.93"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2011","t","29268"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2011","kg/ha","18.49"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2012","t","26198"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2012","kg/ha","16.6"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2013","t","29658"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2013","kg/ha","18.81"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2014","t","32731"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2014","kg/ha","20.79"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2015","t","31646"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2015","kg/ha","20.18"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2016","t","31045"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2016","kg/ha","19.8"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2017","t","31625"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2017","kg/ha","20.39"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2018","t","28464"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2018","kg/ha","18.38"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2019","t","26500"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2019","kg/ha","17.13"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2020","t","32104"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2020","kg/ha","20.75"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2021","t","26504"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2021","kg/ha","17.16"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","2022","t","15494"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","2022","kg/ha","10.05"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient potash K2O (total)","1961","t","99000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient potash K2O (total)","1961","kg/ha","50.8"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient potash K2O (total)","1962","t","110593"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient potash K2O (total)","1962","kg/ha","57.01"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient potash K2O (total)","1963","t","132063"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient potash K2O (total)","1963","kg/ha","69.06"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient potash K2O (total)","1964","t","146830"
